name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
中国汽研,汽车服务,重庆,37.67,96117.97,96117.97,454953.34,246902.88,149025.86,141141.02,1.47,0.209,4.04,2.6,20120611
益民集团,百货,上海,39.87,105402.71,105402.71,285702.38,111034.86,20827.99,15640.04,0.15,0.13,1.93,3.57,19940204
蒙发利,医疗保健,福建,43.11,28411.44,55495.5,448838.91,320879.59,61975.88,113447.72,2.04,0.267,4.52,3.4,20110909
全信股份,电气设备,江苏,70.47,5490.0,16322.42,84973.0,57719.9,6496.85,11930.33,0.73,0.5329999999999999,3.91,12.82,20150422
云铝股份,铝,云南,54.51,172183.2,189861.17,3030756.75,868971.88,1602458.38,365033.84,1.92,0.096,3.07,2.27,19980408
龙韵股份,广告包装,上海,131.02,3610.0,6667.0,91501.36,76345.46,7646.18,26724.35,4.01,0.478,12.2,6.84,20150324
世纪游轮,旅游服务,重庆,107.37,6439.64,168698.31,817996.0,709504.25,50649.35,428756.84,2.54,0.52,4.32,15.66,20110302
中航机电,航空,湖北,85.8,139669.91,160383.7,1865487.25,1217138.0,280260.56,301413.09,1.88,0.15,4.49,3.82,20040705
高澜股份,专用机械,广东,188.88,3000.6,12000.59,101317.65,76697.11,12882.19,21531.49,1.79,0.2,4.67,10.35,20160202
四川双马,水泥,四川,456.79,62948.76,76344.03,532542.31,72055.06,410916.5,99226.86,1.3,0.061,3.51,10.55,19990824
华纺股份,纺织,山东,217.11,39939.37,42236.41,275323.94,146436.02,65403.25,65484.18,1.55,0.027000000000000003,2.01,3.92,20010903
元力股份,化工原料,福建,233.24,7350.41,13600.0,110533.4,33377.89,33357.35,25287.8,1.86,0.165,3.91,13.13,20110201
中海海盛,水运,海南,0.0,58131.57,87328.65,508551.41,133630.95,284955.66,186857.0,2.14,-0.22,3.15,4.02,19960503
川仪股份,电器仪表,重庆,49.3,23138.14,39500.0,450193.16,343083.47,42062.01,70549.46,1.79,0.242,4.67,3.4,20140805
